Loan Purpose,Checking,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Small Appliance,0,739,13,12,M,Single,23,Own,3,Unskilled,Low
Furniture,0,1230,25,0,M,Divorced,32,Own,1,Skilled,High
New Car,0,389,19,119,M,Single,38,Own,4,Management,High
Furniture,638,347,13,14,M,Single,36,Own,2,Unskilled,High
Education,963,4754,40,45,M,Single,31,Rent,3,Skilled,Low
Furniture,2827,0,11,13,M,Married,25,Own,1,Skilled,Low
New Car,0,229,13,16,M,Married,26,Own,3,Unskilled,Low
Business,0,533,14,2,M,Single,27,Own,1,Unskilled,Low
Small Appliance,6509,493,37,9,M,Single,25,Own,2,Skilled,High
Small Appliance,966,0,25,4,F,Divorced,43,Own,1,Skilled,High
Business,0,989,49,0,M,Single,32,Rent,2,Management,High
New Car,0,3305,11,15,M,Single,34,Rent,2,Unskilled,Low
Business,322,578,10,14,M,Married,26,Own,1,Skilled,Low
New Car,0,821,25,63,M,Single,44,Own,1,Skilled,High
New Car,396,228,13,26,M,Single,46,Own,3,Unskilled,Low
Used Car,0,129,31,8,M,Divorced,39,Own,4,Management,Low
Furniture,652,732,49,4,F,Divorced,25,Own,2,Skilled,High
New Car,708,683,13,33,M,Single,31,Own,2,Skilled,Low
Repairs,207,0,28,116,M,Single,47,Own,4,Skilled,Low
Education,287,12348,7,2,F,Divorced,23,Rent,2,Skilled,High
Furniture,0,17545,34,16,F,Divorced,22,Own,4,Skilled,High
Furniture,101,3871,13,5,F,Divorced,26,Rent,4,Skilled,High
Furniture,0,0,25,23,M,Married,19,Own,4,Skilled,High
Furniture,0,485,37,23,F,Divorced,27,Own,2,Management,High
New Car,0,10723,11,15,M,Single,39,Rent,2,Unskilled,Low
Business,141,245,22,33,M,Single,26,Own,3,Skilled,Low
Used Car,0,0,19,58,M,Single,50,Other,4,Skilled,High
Used Car,2484,0,49,46,M,Single,34,Other,1,Skilled,Low
Small Appliance,237,236,37,24,M,Single,23,Rent,4,Skilled,Low
Small Appliance,0,485,19,12,M,Single,23,Own,2,Skilled,Low
Education,335,1708,37,7,M,Single,46,Other,4,Skilled,High
Small Appliance,3565,0,31,32,M,Single,35,Own,3,Skilled,Low
Small Appliance,0,407,13,2,F,Divorced,28,Own,2,Skilled,Low
Business,16647,895,16,34,M,Single,25,Rent,4,Skilled,Low
Business,0,150,49,46,F,Divorced,36,Rent,4,Skilled,High
Small Appliance,0,490,5,41,M,Single,41,Own,1,Unskilled,Low
Furniture,0,162,25,1,M,Divorced,54,Own,1,Skilled,High
Small Appliance,940,715,9,40,F,Divorced,43,Own,2,Unskilled,Low
Small Appliance,0,323,49,42,M,Married,33,Own,1,Skilled,High
New Car,0,128,13,74,M,Single,34,Own,3,Skilled,High
Other,218,0,49,0,M,Single,39,Other,4,Unemployed,Low
Used Car,0,109,25,26,M,Single,34,Own,3,Unskilled,Low
Small Appliance,16935,189,37,60,M,Single,30,Own,2,Skilled,Low
Furniture,664,537,31,33,M,Single,48,Own,2,Skilled,High
Furniture,150,6520,12,1,F,Divorced,19,Own,1,Skilled,Low
Small Appliance,0,138,7,119,M,Married,29,Rent,2,Skilled,Low
Furniture,216,0,19,3,F,Divorced,26,Rent,3,Skilled,High
New Car,0,660,17,75,M,Single,42,Rent,4,Skilled,High
Business,0,724,25,8,M,Single,30,Rent,2,Skilled,High
Small Appliance,0,897,19,5,M,Married,38,Own,4,Skilled,Low
Small Appliance,265,947,25,5,M,Married,21,Own,1,Skilled,High
Furniture,4256,0,16,36,F,Divorced,32,Rent,4,Unskilled,Low
Business,870,917,28,6,M,Single,35,Own,2,Skilled,High
New Car,162,595,22,10,M,Divorced,46,Own,4,Skilled,Low
Used Car,0,789,25,28,M,Single,37,Own,3,Management,Low
Education,0,0,37,114,M,Single,39,Own,4,Management,High
Furniture,0,746,13,16,F,Divorced,29,Own,3,Skilled,Low
New Car,461,140,19,32,M,Single,27,Rent,3,Unskilled,Low
New Car,0,659,19,5,F,Divorced,22,Rent,3,Skilled,High
Furniture,0,717,37,60,M,Single,40,Own,2,Skilled,High
New Car,0,667,29,10,M,Single,44,Own,2,Unskilled,High
New Car,580,0,11,8,M,Single,26,Own,4,Unskilled,High
Small Appliance,0,763,13,46,F,Divorced,57,Own,3,Unskilled,Low
New Car,0,1366,19,17,M,Single,34,Own,4,Unskilled,Low
Small Appliance,0,552,25,4,M,Married,47,Own,4,Skilled,High
Small Appliance,0,14643,16,115,M,Single,46,Own,3,Skilled,Low
Business,758,2665,13,31,M,Single,38,Own,4,Unskilled,Low
Used Car,399,0,31,0,F,Divorced,52,Own,1,Management,High
