Loan Purpose,Checking,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Small Appliance,0,739,13,12,1,1,23,0,3,2,0
Furniture,0,1230,25,0,1,2,32,0,1,1,1
New Car,0,389,19,119,1,1,38,0,4,0,1
Furniture,638,347,13,14,1,1,36,0,2,2,1
Education,963,4754,40,45,1,1,31,2,3,1,0
Furniture,2827,0,11,13,1,0,25,0,1,1,0
New Car,0,229,13,16,1,0,26,0,3,2,0
Business,0,533,14,2,1,1,27,0,1,2,0
Small Appliance,6509,493,37,9,1,1,25,0,2,1,1
Small Appliance,966,0,25,4,0,2,43,0,1,1,1
Business,0,989,49,0,1,1,32,2,2,0,1
New Car,0,3305,11,15,1,1,34,2,2,2,0
Business,322,578,10,14,1,0,26,0,1,1,0
New Car,0,821,25,63,1,1,44,0,1,1,1
New Car,396,228,13,26,1,1,46,0,3,2,0
Used Car,0,129,31,8,1,2,39,0,4,0,0
Furniture,652,732,49,4,0,2,25,0,2,1,1
New Car,708,683,13,33,1,1,31,0,2,1,0
Repairs,207,0,28,116,1,1,47,0,4,1,0
Education,287,12348,7,2,0,2,23,2,2,1,1
Furniture,0,17545,34,16,0,2,22,0,4,1,1
Furniture,101,3871,13,5,0,2,26,2,4,1,1
Furniture,0,0,25,23,1,0,19,0,4,1,1
Furniture,0,485,37,23,0,2,27,0,2,0,1
New Car,0,10723,11,15,1,1,39,2,2,2,0
Business,141,245,22,33,1,1,26,0,3,1,0
Used Car,0,0,19,58,1,1,50,1,4,1,1
Used Car,2484,0,49,46,1,1,34,1,1,1,0
Small Appliance,237,236,37,24,1,1,23,2,4,1,0
Small Appliance,0,485,19,12,1,1,23,0,2,1,0
Education,335,1708,37,7,1,1,46,1,4,1,1
Small Appliance,3565,0,31,32,1,1,35,0,3,1,0
Small Appliance,0,407,13,2,0,2,28,0,2,1,0
Business,16647,895,16,34,1,1,25,2,4,1,0
Business,0,150,49,46,0,2,36,2,4,1,1
Small Appliance,0,490,5,41,1,1,41,0,1,2,0
Furniture,0,162,25,1,1,2,54,0,1,1,1
Small Appliance,940,715,9,40,0,2,43,0,2,2,0
Small Appliance,0,323,49,42,1,0,33,0,1,1,1
New Car,0,128,13,74,1,1,34,0,3,1,1
Other,218,0,49,0,1,1,39,1,4,2,0
Used Car,0,109,25,26,1,1,34,0,3,2,0
Small Appliance,16935,189,37,60,1,1,30,0,2,1,0
Furniture,664,537,31,33,1,1,48,0,2,1,1
Furniture,150,6520,12,1,0,2,19,0,1,1,0
Small Appliance,0,138,7,119,1,0,29,2,2,1,0
Furniture,216,0,19,3,0,2,26,2,3,1,1
New Car,0,660,17,75,1,1,42,2,4,1,1
Business,0,724,25,8,1,1,30,2,2,1,1
Small Appliance,0,897,19,5,1,0,38,0,4,1,0
Small Appliance,265,947,25,5,1,0,21,0,1,1,1
Furniture,4256,0,16,36,0,2,32,2,4,2,0
Business,870,917,28,6,1,1,35,0,2,1,1
New Car,162,595,22,10,1,2,46,0,4,1,0
Used Car,0,789,25,28,1,1,37,0,3,0,0
Education,0,0,37,114,1,1,39,0,4,0,1
Furniture,0,746,13,16,0,2,29,0,3,1,0
New Car,461,140,19,32,1,1,27,2,3,2,0
New Car,0,659,19,5,0,2,22,2,3,1,1
Furniture,0,717,37,60,1,1,40,0,2,1,1
New Car,0,667,29,10,1,1,44,0,2,2,1
New Car,580,0,11,8,1,1,26,0,4,2,1
Small Appliance,0,763,13,46,0,2,57,0,3,2,0
New Car,0,1366,19,17,1,1,34,0,4,2,0
Small Appliance,0,552,25,4,1,0,47,0,4,1,1
Small Appliance,0,14643,16,115,1,1,46,0,3,1,0
Business,758,2665,13,31,1,1,38,0,4,2,0
Used Car,399,0,31,0,0,2,52,0,1,0,1
Furniture,513,442,7,0,1,1,34,0,1,0,0
Furniture,0,8357,25,5,1,1,29,1,4,1,1
New Car,0,0,22,9,1,1,39,0,2,2,1
Small Appliance,565,863,10,81,1,1,36,0,4,2,0
Business,0,322,28,28,1,1,25,0,4,1,0
Furniture,0,800,13,69,1,1,59,0,3,1,1
Small Appliance,0,656,37,85,1,1,27,0,2,1,0
New Car,166,922,13,2,0,2,24,2,1,1,1
Business,9783,885,13,3,0,2,25,0,1,2,1
Business,674,2886,49,32,1,1,29,0,2,1,0
Repairs,0,626,43,0,1,1,64,0,4,2,0
Business,15328,0,25,9,1,1,31,0,4,1,0
New Car,0,904,12,6,1,1,38,0,4,2,0
Education,713,784,61,17,1,1,41,1,4,1,1
New Car,0,806,19,3,0,2,22,0,2,2,1
Education,0,3281,19,20,0,2,29,0,2,1,1
New Car,0,759,16,59,1,1,32,2,3,1,1
Small Appliance,0,680,25,3,0,2,34,0,4,1,1
Used Car,0,104,37,25,1,1,23,0,4,1,1
Small Appliance,303,899,13,3,1,1,21,0,1,1,1
Small Appliance,900,1732,37,11,0,2,49,1,4,1,1
Furniture,0,706,31,14,1,2,31,0,2,1,0
Education,1257,0,10,65,0,2,40,2,4,2,0
Small Appliance,0,576,7,14,0,2,28,0,1,1,0
Repairs,273,904,7,2,1,0,21,0,1,2,0
Business,522,194,25,79,1,2,30,0,4,1,1
Small Appliance,0,710,25,1,0,2,37,0,3,1,0
Small Appliance,0,5564,25,93,1,1,33,0,2,1,0
Small Appliance,0,192,46,13,1,1,22,1,4,1,1
New Car,0,637,13,21,0,2,23,0,2,2,1
Small Appliance,514,405,49,13,0,2,21,0,2,1,1
Furniture,457,318,19,108,1,1,40,0,1,1,0
Small Appliance,5133,698,19,14,1,1,36,0,2,1,1
New Car,0,369,10,16,1,1,29,0,1,1,0
Retraining,644,0,13,88,1,1,37,0,4,1,0
Furniture,305,492,19,1,0,2,26,0,1,1,0
New Car,9621,308,25,41,1,1,37,1,3,1,1
Education,0,127,13,22,1,1,39,2,4,2,1
Business,0,565,19,14,1,0,27,0,2,1,1
Furniture,0,12632,16,9,0,2,19,2,4,1,0
New Car,0,116,49,45,1,1,45,1,4,1,1
Used Car,0,178,13,89,1,1,34,1,4,1,1
Small Appliance,6851,901,13,21,0,2,43,2,2,2,0
Furniture,13496,650,19,20,1,1,33,0,1,2,1
Business,509,241,25,14,1,1,35,0,4,2,1
Used Car,0,609,37,6,1,1,31,1,2,0,0
Furniture,19155,131,25,24,1,1,25,0,2,1,0
Furniture,0,544,19,15,0,2,27,0,2,1,0
Small Appliance,0,10853,25,81,0,2,56,2,4,0,0
Used Car,374,0,25,14,1,1,45,0,4,0,0
Large Appliance,0,409,49,15,1,1,53,0,4,1,1
Furniture,828,391,9,12,0,2,23,0,4,1,1
Furniture,0,322,13,9,0,2,25,0,1,1,0
Small Appliance,829,583,7,18,0,2,63,0,3,1,0
Small Appliance,0,12242,25,53,1,1,34,0,2,1,1
Furniture,0,479,19,0,1,1,24,0,1,2,1
New Car,939,496,19,56,1,1,35,0,4,1,1
New Car,0,466,25,42,1,1,30,0,3,1,1
New Car,889,1583,37,79,1,1,29,1,3,1,0
Furniture,876,1533,31,21,0,2,20,2,4,1,1
